period;cc_id;item_id;amount_plan
2025-01;8;2;107900
2025-01;8;3;109800
2025-01;8;5;113700
2025-01;8;6;115600
2025-01;8;8;119400
2025-01;8;9;121300
2025-01;8;11;125200
2025-01;8;12;127100
2025-01;8;14;130900
2025-01;8;15;132800
2025-01;8;17;136700
2025-01;8;18;138600
2025-01;8;20;598200
2025-01;8;21;606200
2025-01;8;23;622400
2025-01;8;24;630400
2025-01;9;1;110800
2025-01;9;2;112700
2025-01;9;4;116400
2025-01;9;5;118300
2025-01;9;7;122000
2025-01;9;8;123900
2025-01;9;10;127600
2025-01;9;11;129500
2025-01;9;13;133200
2025-01;9;14;135100
2025-01;9;16;138900
2025-01;9;17;140700
2025-01;9;19;606700
2025-01;9;20;614600
2025-01;9;22;630300
2025-01;9;23;638200
2025-01;9;25;653900
2025-01;10;1;115100
2025-01;10;3;118700
2025-01;10;4;120500
2025-01;10;6;124200
2025-01;10;7;126000
2025-01;10;9;129600
2025-01;10;10;131500
2025-01;10;12;135100
2025-01;10;13;136900
2025-01;10;15;140600
2025-01;10;16;142400
2025-01;10;18;146000
2025-01;10;19;621000
2025-01;10;21;636300
2025-01;10;22;644000
2025-01;10;24;659300
2025-01;10;25;666900
2025-01;11;2;120900
2025-01;11;3;122700
2025-01;11;5;126300
2025-01;11;6;128100
2025-01;11;8;131600
2025-01;11;9;133400
2025-01;11;11;136900
2025-01;11;12;138700
2025-01;11;14;142300
2025-01;11;15;144000
2025-01;11;17;147600
2025-01;11;18;149400
2025-01;11;20;642200
2025-01;11;21;649700
2025-01;11;23;664600
2025-01;11;24;672100
2025-01;12;1;123500
2025-01;12;2;125200
2025-01;12;4;128700
2025-01;12;5;130400
2025-01;12;7;133900
2025-01;12;8;135700
2025-01;12;10;139100
2025-01;12;11;140900
2025-01;12;13;144300
2025-01;12;14;146100
2025-01;12;16;149600
2025-01;12;17;151300
2025-01;12;19;650100
2025-01;12;20;657400
2025-01;12;22;672000
2025-01;12;23;679300
2025-01;12;25;693900
2025-01;13;1;128400
2025-01;13;3;131900
2025-01;13;4;133600
2025-01;13;6;137000
2025-01;13;7;138700
2025-01;13;9;142100
2025-01;13;10;143900
2025-01;13;12;147300
2025-01;13;13;149000
2025-01;13;15;152400
2025-01;13;16;154100
2025-01;13;18;157600
2025-01;13;19;668900
2025-01;13;21;683300
2025-01;13;22;690500
2025-01;13;24;704900
2025-01;13;25;712100
2025-01;14;2;136100
2025-01;14;3;137800
2025-01;14;5;141200
2025-01;14;6;142900
2025-01;14;8;146300
2025-01;14;9;148000
2025-01;14;11;151400
2025-01;14;12;153100
2025-01;14;14;156500
2025-01;14;15;158200
2025-01;14;17;161600
2025-01;14;18;163300
2025-01;14;20;700200
2025-01;14;21;707400
2025-01;14;23;721700
2025-01;14;24;728800
2025-01;15;1;141600
2025-01;15;2;143300
2025-01;15;4;146700
2025-01;15;5;148400
2025-01;15;7;151800
2025-01;15;8;153500
2025-01;15;10;157000
2025-01;15;11;158700
2025-01;15;13;162100
2025-01;15;14;163800
2025-01;15;16;167200
2025-01;15;17;168900
2025-01;15;19;723800
2025-01;15;20;731000
2025-01;15;22;745300
2025-01;15;23;752500
2025-01;15;25;766800
2025-02;1;2;58000
2025-02;1;3;60000
2025-02;1;5;63900
2025-02;1;6;65800
2025-02;1;8;69700
2025-02;1;9;71600
2025-02;1;11;75500
2025-02;1;12;77500
2025-02;1;14;81300
2025-02;1;15;83300
2025-02;1;17;87200
2025-02;1;18;89100
2025-02;1;20;390500
2025-02;1;21;398700
2025-02;1;23;415000
2025-02;1;24;423100
2025-02;2;1;64800
2025-02;2;2;66800
2025-02;2;4;70800
2025-02;2;5;72700
2025-02;2;7;76700
2025-02;2;8;78700
2025-02;2;10;82600
2025-02;2;11;84600
2025-02;2;13;88500
2025-02;2;14;90500
2025-02;2;16;94500
2025-02;2;17;96400
2025-02;2;19;421600
2025-02;2;20;429900
2025-02;2;22;446500
2025-02;2;23;454800
2025-02;2;25;471400
2025-02;3;1;73300
2025-02;3;3;77300
2025-02;3;4;79300
2025-02;3;6;83300
2025-02;3;7;85300
2025-02;3;9;89300
2025-02;3;10;91300
2025-02;3;12;95300
2025-02;3;13;97300
2025-02;3;15;101300
2025-02;3;16;103200
2025-02;3;18;107200
2025-02;3;19;458800
2025-02;3;21;475500
2025-02;3;22;483900
2025-02;3;24;500600
2025-02;3;25;509000
2025-02;4;2;83300
2025-02;4;3;85300
2025-02;4;5;89300
2025-02;4;6;91300
2025-02;4;8;95300
2025-02;4;9;97300
2025-02;4;11;101300
2025-02;4;12;103300
2025-02;4;14;107300
2025-02;4;15;109300
2025-02;4;17;113300
2025-02;4;18;115300
2025-02;4;20;501100
2025-02;4;21;509400
2025-02;4;23;526200
2025-02;4;24;534600
2025-02;5;1;88700
2025-02;5;2;90600
2025-02;5;4;94600
2025-02;5;5;96600
2025-02;5;7;100600
2025-02;5;8;102600
2025-02;5;10;106500
2025-02;5;11;108500
2025-02;5;13;112500
2025-02;5;14;114500
2025-02;5;16;118400
2025-02;5;17;120400
2025-02;5;19;522400
2025-02;5;20;530800
2025-02;5;22;547400
2025-02;5;23;555800
2025-02;5;25;572400
2025-02;6;1;95200
2025-02;6;3;99100
2025-02;6;4;101000
2025-02;6;6;104900
2025-02;6;7;106900
2025-02;6;9;110800
2025-02;6;10;112800
2025-02;6;12;116700
2025-02;6;13;118600
2025-02;6;15;122600
2025-02;6;16;124500
2025-02;6;18;128400
2025-02;6;19;547600
2025-02;6;21;564000
2025-02;6;22;572300
2025-02;6;24;588700
2025-02;6;25;596900
2025-02;7;2;102700
2025-02;7;3;104600
2025-02;7;5;108500
2025-02;7;6;110400
2025-02;7;8;114200
2025-02;7;9;116100
2025-02;7;11;120000
2025-02;7;12;121900
2025-02;7;14;125700
2025-02;7;15;127700
2025-02;7;17;131500
2025-02;7;18;133400
2025-02;7;20;576400
2025-02;7;21;584500
2025-02;7;23;600600
2025-02;7;24;608600
2025-02;8;1;105700
2025-02;8;2;107600
2025-02;8;4;111300
2025-02;8;5;113200
2025-02;8;7;117000
2025-02;8;8;118800
2025-02;8;10;122600
2025-02;8;11;124400
2025-02;8;13;128200
2025-02;8;14;130100
2025-02;8;16;133800
2025-02;8;17;135700
2025-02;8;19;585500
2025-02;8;20;593400
2025-02;8;22;609100
2025-02;8;23;616900
2025-02;8;25;632700
2025-02;9;1;110100
2025-02;9;3;113800
2025-02;9;4;115600
2025-02;9;6;119300
2025-02;9;7;121100
2025-02;9;9;124700
2025-02;9;10;126500
2025-02;9;12;130200
2025-02;9;13;132000
2025-02;9;15;135600
2025-02;9;16;137500
2025-02;9;18;141100
2025-02;9;19;600300
2025-02;9;21;615600
2025-02;9;22;623300
2025-02;9;24;638600
2025-02;9;25;646200
2025-02;10;2;116100
2025-02;10;3;117900
2025-02;10;5;121500
2025-02;10;6;123300
2025-02;10;8;126800
2025-02;10;9;128600
2025-02;10;11;132100
2025-02;10;12;133900
2025-02;10;14;137500
2025-02;10;15;139200
2025-02;10;17;142800
2025-02;10;18;144600
2025-02;10;20;622100
2025-02;10;21;629500
2025-02;10;23;644400
2025-02;10;24;651900
2025-02;11;1;118800
2025-02;11;2;120500
2025-02;11;4;124000
2025-02;11;5;125700
2025-02;11;7;129200
2025-02;11;8;131000
2025-02;11;10;134400
2025-02;11;11;136200
2025-02;11;13;139700
2025-02;11;14;141400
2025-02;11;16;144900
2025-02;11;17;146600
2025-02;11;19;630300
2025-02;11;20;637600
2025-02;11;22;652200
2025-02;11;23;659500
2025-02;11;25;674100
2025-02;12;1;123800
2025-02;12;3;127200
2025-02;12;4;128900
2025-02;12;6;132400
2025-02;12;7;134100
2025-02;12;9;137500
2025-02;12;10;139200
2025-02;12;12;142600
2025-02;12;13;144400
2025-02;12;15;147800
2025-02;12;16;149500
2025-02;12;18;152900
2025-02;12;19;649500
2025-02;12;21;663900
2025-02;12;22;671000
2025-02;12;24;685400
2025-02;12;25;692600
2025-02;13;2;131500
2025-02;13;3;133200
2025-02;13;5;136600
2025-02;13;6;138300
2025-02;13;8;141700
2025-02;13;9;143400
2025-02;13;11;146800
2025-02;13;12;148500
2025-02;13;14;151900
2025-02;13;15;153600
2025-02;13;17;157000
2025-02;13;18;158700
2025-02;13;20;680900
2025-02;13;21;688000
2025-02;13;23;702300
2025-02;13;24;709500
2025-02;14;1;137000
2025-02;14;2;138700
2025-02;14;4;142100
2025-02;14;5;143800
2025-02;14;7;147200
2025-02;14;8;148900
2025-02;14;10;152300
2025-02;14;11;154100
2025-02;14;13;157500
2025-02;14;14;159200
2025-02;14;16;162600
2025-02;14;17;164300
2025-02;14;19;704400
2025-02;14;20;711600
2025-02;14;22;725900
2025-02;14;23;733100
2025-02;14;25;747400
2025-02;15;1;145500
2025-02;15;3;149000
2025-02;15;4;150700
2025-02;15;6;154200
2025-02;15;7;155900
2025-02;15;9;159400
2025-02;15;10;161100
2025-02;15;12;164500
2025-02;15;13;166300
2025-02;15;15;169700
2025-02;15;16;171500
2025-02;15;18;174900
2025-02;15;19;742000
2025-02;15;21;756500
2025-02;15;22;763700
2025-02;15;24;778300
2025-02;15;25;785500
2025-03;1;1;59500
2025-03;1;2;61500
2025-03;1;4;65400
2025-03;1;5;67400
2025-03;1;7;71400
2025-03;1;8;73300
2025-03;1;10;77300
2025-03;1;11;79200
2025-03;1;13;83200
2025-03;1;14;85200
2025-03;1;16;89100
2025-03;1;17;91100
2025-03;1;19;399200
2025-03;1;20;407500
2025-03;1;22;424100
2025-03;1;23;432400
2025-03;1;25;448900
2025-03;2;1;68000
2025-03;2;3;71900
2025-03;2;4;73900
2025-03;2;6;77900
2025-03;2;7;79900
2025-03;2;9;83900
2025-03;2;10;85900
2025-03;2;12;89900
2025-03;2;13;91900
2025-03;2;15;95900
2025-03;2;16;97900
2025-03;2;18;101800
2025-03;2;19;436100
2025-03;2;21;452900
2025-03;2;22;461300
2025-03;2;24;478000
2025-03;2;25;486400
2025-03;3;2;77900
2025-03;3;3;79900
2025-03;3;5;83900
2025-03;3;6;85900
2025-03;3;8;89900
2025-03;3;9;91900
2025-03;3;11;95900
2025-03;3;12;97900
2025-03;3;14;101900
2025-03;3;15;103900
2025-03;3;17;107900
2025-03;3;18;109900
2025-03;3;20;478400
2025-03;3;21;486800
2025-03;3;23;503600
2025-03;3;24;511900
2025-03;4;1;83300
2025-03;4;2;85300
2025-03;4;4;89300
2025-03;4;5;91200
2025-03;4;7;95200
2025-03;4;8;97200
2025-03;4;10;101200
2025-03;4;11;103100
2025-03;4;13;107100
2025-03;4;14;109100
2025-03;4;16;113100
2025-03;4;17;115100
2025-03;4;19;499900
2025-03;4;20;508200
2025-03;4;22;524900
2025-03;4;23;533200
2025-03;4;25;549900
2025-03;5;1;89900
2025-03;5;3;93800
2025-03;5;4;95700
2025-03;5;6;99600
2025-03;5;7;101600
2025-03;5;9;105500
2025-03;5;10;107500
2025-03;5;12;111400
2025-03;5;13;113300
2025-03;5;15;117300
2025-03;5;16;119200
2025-03;5;18;123100
2025-03;5;19;525400
2025-03;5;21;541800
2025-03;5;22;550000
2025-03;5;24;566500
2025-03;5;25;574700
2025-03;6;2;97500
2025-03;6;3;99500
2025-03;6;5;103300
2025-03;6;6;105200
2025-03;6;8;109000
2025-03;6;9;111000
2025-03;6;11;114800
2025-03;6;12;116700
2025-03;6;14;120600
2025-03;6;15;122500
2025-03;6;17;126300
2025-03;6;18;128200
2025-03;6;20;554700
2025-03;6;21;562700
2025-03;6;23;578800
2025-03;6;24;586900
2025-03;7;1;100700
2025-03;7;2;102500
2025-03;7;4;106300
2025-03;7;5;108200
2025-03;7;7;111900
2025-03;7;8;113800
2025-03;7;10;117500
2025-03;7;11;119400
2025-03;7;13;123100
2025-03;7;14;125000
2025-03;7;16;128700
2025-03;7;17;130600
2025-03;7;19;564300
2025-03;7;20;572100
2025-03;7;22;587800
2025-03;7;23;595700
2025-03;7;25;611400
2025-03;8;1;105200
2025-03;8;3;108900
2025-03;8;4;110700
2025-03;8;6;114300
2025-03;8;7;116200
2025-03;8;9;119800
2025-03;8;10;121600
2025-03;8;12;125300
2025-03;8;13;127100
2025-03;8;15;130700
2025-03;8;16;132500
2025-03;8;18;136200
2025-03;8;19;579700
2025-03;8;21;595000
2025-03;8;22;602600
2025-03;8;24;617900
2025-03;8;25;625600
2025-03;9;2;111300
2025-03;9;3;113100
2025-03;9;5;116700
2025-03;9;6;118500
2025-03;9;8;122000
2025-03;9;9;123800
2025-03;9;11;127300
2025-03;9;12;129100
2025-03;9;14;132700
2025-03;9;15;134400
2025-03;9;17;138000
2025-03;9;18;139800
2025-03;9;20;601900
2025-03;9;21;609400
2025-03;9;23;624300
2025-03;9;24;631700
2025-03;10;1;114100
2025-03;10;2;115800
2025-03;10;4;119300
2025-03;10;5;121000
2025-03;10;7;124500
2025-03;10;8;126300
2025-03;10;10;129700
2025-03;10;11;131500
2025-03;10;13;135000
2025-03;10;14;136700
2025-03;10;16;140200
2025-03;10;17;141900
2025-03;10;19;610600
2025-03;10;20;617900
2025-03;10;22;632500
2025-03;10;23;639800
2025-03;10;25;654400
2025-03;11;1;119200
2025-03;11;3;122600
2025-03;11;4;124300
2025-03;11;6;127700
2025-03;11;7;129500
2025-03;11;9;132900
2025-03;11;10;134600
2025-03;11;12;138000
2025-03;11;13;139700
2025-03;11;15;143200
2025-03;11;16;144900
2025-03;11;18;148300
2025-03;11;19;630000
2025-03;11;21;644400
2025-03;11;22;651600
2025-03;11;24;666000
2025-03;11;25;673200
2025-03;12;2;126900
2025-03;12;3;128600
2025-03;12;5;132000
2025-03;12;6;133700
2025-03;12;8;137100
2025-03;12;9;138800
2025-03;12;11;142200
2025-03;12;12;143900
2025-03;12;14;147300
2025-03;12;15;149000
2025-03;12;17;152400
2025-03;12;18;154100
2025-03;12;20;661600
2025-03;12;21;668700
2025-03;12;23;683000
2025-03;12;24;690200
2025-03;13;1;132400
2025-03;13;2;134100
2025-03;13;4;137500
2025-03;13;5;139200
2025-03;13;7;142600
2025-03;13;8;144300
2025-03;13;10;147700
2025-03;13;11;149400
2025-03;13;13;152900
2025-03;13;14;154600
2025-03;13;16;158000
2025-03;13;17;159700
2025-03;13;19;685000
2025-03;13;20;692200
2025-03;13;22;706500
2025-03;13;23;713700
2025-03;13;25;728100
2025-03;14;1;140800
2025-03;14;3;144300
2025-03;14;4;146000
2025-03;14;6;149500
2025-03;14;7;151200
2025-03;14;9;154700
2025-03;14;10;156400
2025-03;14;12;159900
2025-03;14;13;161600
2025-03;14;15;165100
2025-03;14;16;166800
2025-03;14;18;170300
2025-03;14;19;722300
2025-03;14;21;736800
2025-03;14;22;744100
2025-03;14;24;758600
2025-03;14;25;765900
2025-03;15;2;152400
2025-03;15;3;154200
2025-03;15;5;157700
2025-03;15;6;159500
2025-03;15;8;163000
2025-03;15;9;164800
2025-03;15;11;168300
2025-03;15;12;170100
2025-03;15;14;173600
2025-03;15;15;175300
2025-03;15;17;178900
2025-03;15;18;180600
2025-03;15;20;773500
2025-03;15;21;780900
2025-03;15;23;795700
2025-03;15;24;803100
2025-04;1;1;62600
2025-04;1;3;66600
2025-04;1;4;68500
2025-04;1;6;72500
2025-04;1;7;74500
2025-04;1;9;78500
2025-04;1;10;80500
2025-04;1;12;84500
2025-04;1;13;86500
2025-04;1;15;90500
2025-04;1;16;92500
2025-04;1;18;96500
2025-04;1;19;413500
2025-04;1;21;430300
2025-04;1;22;438600
2025-04;1;24;455400
2025-04;1;25;463700
2025-04;2;2;72600
2025-04;2;3;74500
2025-04;2;5;78500
2025-04;2;6;80500
2025-04;2;8;84500
2025-04;2;9;86500
2025-04;2;11;90500
2025-04;2;12;92500
2025-04;2;14;96500
2025-04;2;15;98500
2025-04;2;17;102500
2025-04;2;18;104500
2025-04;2;20;455700
2025-04;2;21;464100
2025-04;2;23;480900
2025-04;2;24;489300
2025-04;3;1;77900
2025-04;3;2;79900
2025-04;3;4;83900
2025-04;3;5;85900
2025-04;3;7;89800
2025-04;3;8;91800
2025-04;3;10;95800
2025-04;3;11;97800
2025-04;3;13;101700
2025-04;3;14;103700
2025-04;3;16;107700
2025-04;3;17;109700
2025-04;3;19;477400
2025-04;3;20;485700
2025-04;3;22;502400
2025-04;3;23;510700
2025-04;3;25;527400
2025-04;4;1;84600
2025-04;4;3;88500
2025-04;4;4;90400
2025-04;4;6;94400
2025-04;4;7;96300
2025-04;4;9;100200
2025-04;4;10;102200
2025-04;4;12;106100
2025-04;4;13;108100
2025-04;4;15;112000
2025-04;4;16;113900
2025-04;4;18;117800
2025-04;4;19;503200
2025-04;4;21;519600
2025-04;4;22;527800
2025-04;4;24;544300
2025-04;4;25;552500
2025-04;5;2;92400
2025-04;5;3;94300
2025-04;5;5;98100
2025-04;5;6;100000
2025-04;5;8;103900
2025-04;5;9;105800
2025-04;5;11;109600
2025-04;5;12;111500
2025-04;5;14;115400
2025-04;5;15;117300
2025-04;5;17;121100
2025-04;5;18;123000
2025-04;5;20;532900
2025-04;5;21;540900
2025-04;5;23;557000
2025-04;5;24;565100
2025-04;6;1;95600
2025-04;6;2;97500
2025-04;6;4;101200
2025-04;6;5;103100
2025-04;6;7;106800
2025-04;6;8;108700
2025-04;6;10;112500
2025-04;6;11;114300
2025-04;6;13;118100
2025-04;6;14;119900
2025-04;6;16;123700
2025-04;6;17;125600
2025-04;6;19;543000
2025-04;6;20;550900
2025-04;6;22;566600
2025-04;6;23;574500
2025-04;6;25;590200
2025-04;7;1;100300
2025-04;7;3;103900
2025-04;7;4;105800
2025-04;7;6;109400
2025-04;7;7;111200
2025-04;7;9;114900
2025-04;7;10;116700
2025-04;7;12;120300
2025-04;7;13;122200
2025-04;7;15;125800
2025-04;7;16;127600
2025-04;7;18;131300
2025-04;7;19;559000
2025-04;7;21;574300
2025-04;7;22;581900
2025-04;7;24;597200
2025-04;7;25;604900
2025-04;8;2;106500
2025-04;8;3;108300
2025-04;8;5;111900
2025-04;8;6;113700
2025-04;8;8;117200
2025-04;8;9;119000
2025-04;8;11;122500
2025-04;8;12;124300
2025-04;8;14;127900
2025-04;8;15;129600
2025-04;8;17;133200
2025-04;8;18;135000
2025-04;8;20;581800
2025-04;8;21;589200
2025-04;8;23;604100
2025-04;8;24;611600
2025-04;9;1;109400
2025-04;9;2;111100
2025-04;9;4;114600
2025-04;9;5;116400
2025-04;9;7;119800
2025-04;9;8;121600
2025-04;9;10;125000
2025-04;9;11;126800
2025-04;9;13;130300
2025-04;9;14;132000
2025-04;9;16;135500
2025-04;9;17;137200
2025-04;9;19;590900
2025-04;9;20;598200
2025-04;9;22;612800
2025-04;9;23;620100
2025-04;9;25;634700
2025-04;10;1;114600
2025-04;10;3;118000
2025-04;10;4;119700
2025-04;10;6;123100
2025-04;10;7;124800
2025-04;10;9;128300
2025-04;10;10;130000
2025-04;10;12;133400
2025-04;10;13;135100
2025-04;10;15;138500
2025-04;10;16;140200
2025-04;10;18;143700
2025-04;10;19;610600
2025-04;10;21;625000
2025-04;10;22;632200
2025-04;10;24;646500
2025-04;10;25;653700
2025-04;11;2;122300
2025-04;11;3;124000
2025-04;11;5;127400
2025-04;11;6;129100
2025-04;11;8;132500
2025-04;11;9;134200
2025-04;11;11;137600
2025-04;11;12;139300
2025-04;11;14;142700
2025-04;11;15;144400
2025-04;11;17;147800
2025-04;11;18;149500
2025-04;11;20;642300
2025-04;11;21;649400
2025-04;11;23;663700
2025-04;11;24;670900
2025-04;12;1;127700
2025-04;12;2;129400
2025-04;12;4;132900
2025-04;12;5;134600
2025-04;12;7;138000
2025-04;12;8;139700
2025-04;12;10;143100
2025-04;12;11;144800
2025-04;12;13;148200
2025-04;12;14;149900
2025-04;12;16;153400
2025-04;12;17;155100
2025-04;12;19;665600
2025-04;12;20;672800
2025-04;12;22;687100
2025-04;12;23;694300
2025-04;12;25;708700
2025-04;13;1;136200
2025-04;13;3;139600
2025-04;13;4;141400
2025-04;13;6;144800
2025-04;13;7;146600
2025-04;13;9;150000
2025-04;13;10;151700
2025-04;13;12;155200
2025-04;13;13;156900
2025-04;13;15;160400
2025-04;13;16;162100
2025-04;13;18;165600
2025-04;13;19;702700
2025-04;13;21;717200
2025-04;13;22;724500
2025-04;13;24;739000
2025-04;13;25;746300
2025-04;14;2;147600
2025-04;14;3;149400
2025-04;14;5;152900
2025-04;14;6;154700
2025-04;14;8;158200
2025-04;14;9;160000
2025-04;14;11;163500
2025-04;14;12;165300
2025-04;14;14;168800
2025-04;14;15;170600
2025-04;14;17;174100
2025-04;14;18;175900
2025-04;14;20;753500
2025-04;14;21;760900
2025-04;14;23;775700
2025-04;14;24;783100
2025-04;15;1;156700
2025-04;15;2;158500
2025-04;15;4;162100
2025-04;15;5;163900
2025-04;15;7;167500
2025-04;15;8;169300
2025-04;15;10;172900
2025-04;15;11;174800
2025-04;15;13;178400
2025-04;15;14;180200
2025-04;15;16;183800
2025-04;15;17;185600
2025-04;15;19;794700
2025-04;15;20;802300
2025-04;15;22;817500
2025-04;15;23;825100
2025-04;15;25;840300
2025-05;1;2;67200
2025-05;1;3;69200
2025-05;1;5;73100
2025-05;1;6;75100
2025-05;1;8;79100
2025-05;1;9;81100
2025-05;1;11;85100
2025-05;1;12;87100
2025-05;1;14;91100
2025-05;1;15;93100
2025-05;1;17;97100
2025-05;1;18;99100
2025-05;1;20;433000
2025-05;1;21;441400
2025-05;1;23;458200
2025-05;1;24;466600
2025-05;2;1;72600
2025-05;2;2;74600
2025-05;2;4;78500
2025-05;2;5;80500
2025-05;2;7;84500
2025-05;2;8;86500
2025-05;2;10;90400
2025-05;2;11;92400
2025-05;2;13;96400
2025-05;2;14;98400
2025-05;2;16;102300
2025-05;2;17;104300
2025-05;2;19;454800
2025-05;2;20;463200
2025-05;2;22;479800
2025-05;2;23;488200
2025-05;2;25;504800
2025-05;3;1;79300
2025-05;3;3;83200
2025-05;3;4;85200
2025-05;3;6;89100
2025-05;3;7;91000
2025-05;3;9;94900
2025-05;3;10;96900
2025-05;3;12;100800
2025-05;3;13;102800
2025-05;3;15;106700
2025-05;3;16;108600
2025-05;3;18;112600
2025-05;3;19;481000
2025-05;3;21;497400
2025-05;3;22;505600
2025-05;3;24;522000
2025-05;3;25;530300
2025-05;4;2;87200
2025-05;4;3;89100
2025-05;4;5;92900
2025-05;4;6;94800
2025-05;4;8;98700
2025-05;4;9;100600
2025-05;4;11;104400
2025-05;4;12;106400
2025-05;4;14;110200
2025-05;4;15;112100
2025-05;4;17;115900
2025-05;4;18;117900
2025-05;4;20;511100
2025-05;4;21;519200
2025-05;4;23;535300
2025-05;4;24;543300
2025-05;5;1;90600
2025-05;5;2;92400
2025-05;5;4;96200
2025-05;5;5;98000
2025-05;5;7;101800
2025-05;5;8;103700
2025-05;5;10;107400
2025-05;5;11;109300
2025-05;5;13;113000
2025-05;5;14;114900
2025-05;5;16;118600
2025-05;5;17;120500
2025-05;5;19;521800
2025-05;5;20;529700
2025-05;5;22;545400
2025-05;5;23;553200
2025-05;5;25;568900
2025-05;6;1;95400
2025-05;6;3;99000
2025-05;6;4;100800
2025-05;6;6;104500
2025-05;6;7;106300
2025-05;6;9;109900
2025-05;6;10;111800
2025-05;6;12;115400
2025-05;6;13;117200
2025-05;6;15;120900
2025-05;6;16;122700
2025-05;6;18;126300
2025-05;6;19;538300
2025-05;6;21;553600
2025-05;6;22;561300
2025-05;6;24;576600
2025-05;6;25;584200
2025-05;7;2;101700
2025-05;7;3;103500
2025-05;7;5;107100
2025-05;7;6;108900
2025-05;7;8;112400
2025-05;7;9;114200
2025-05;7;11;117700
2025-05;7;12;119500
2025-05;7;14;123100
2025-05;7;15;124800
2025-05;7;17;128400
2025-05;7;18;130200
2025-05;7;20;561600
2025-05;7;21;569100
2025-05;7;23;584000
2025-05;7;24;591400
2025-05;8;1;104700
2025-05;8;2;106400
2025-05;8;4;109900
2025-05;8;5;111700
2025-05;8;7;115100
2025-05;8;8;116900
2025-05;8;10;120300
2025-05;8;11;122100
2025-05;8;13;125600
2025-05;8;14;127300
2025-05;8;16;130800
2025-05;8;17;132500
2025-05;8;19;571100
2025-05;8;20;578400
2025-05;8;22;593000
2025-05;8;23;600300
2025-05;8;25;614900
2025-05;9;1;109900
2025-05;9;3;113300
2025-05;9;4;115100
2025-05;9;6;118500
2025-05;9;7;120200
2025-05;9;9;123600
2025-05;9;10;125300
2025-05;9;12;128800
2025-05;9;13;130500
2025-05;9;15;133900
2025-05;9;16;135600
2025-05;9;18;139000
2025-05;9;19;591100
2025-05;9;21;605500
2025-05;9;22;612700
2025-05;9;24;627100
2025-05;9;25;634300
2025-05;10;2;117700
2025-05;10;3;119400
2025-05;10;5;122800
2025-05;10;6;124500
2025-05;10;8;127900
2025-05;10;9;129600
2025-05;10;11;133000
2025-05;10;12;134700
2025-05;10;14;138100
2025-05;10;15;139800
2025-05;10;17;143200
2025-05;10;18;144900
2025-05;10;20;622900
