period;cc_id;item_id;amount_fact
2025-02;10;11;138000
2025-02;10;12;150000
2025-02;10;14;173300
2025-02;10;15;119700
2025-02;10;17;132800
2025-02;10;18;140300
2025-02;10;20;634500
2025-02;10;21;657800
2025-02;10;23;766800
2025-02;10;24;821400
2025-02;11;1;115200
2025-02;11;2;119900
2025-02;11;4;129600
2025-02;11;5;140800
2025-02;11;8;112700
2025-02;11;10;125000
2025-02;11;11;132100
2025-02;11;13;142500
2025-02;11;14;147800
2025-02;11;16;172400
2025-02;11;17;184700
2025-02;11;19;564100
2025-02;11;20;593000
2025-02;11;22;648900
2025-02;11;23;672700
2025-02;11;25;755000
2025-02;12;1;106500
2025-02;12;3;118300
2025-02;12;4;125000
2025-02;12;7;140100
2025-02;12;9;163600
2025-02;12;10;175400
2025-02;12;12;127600
2025-02;12;13;134300
2025-02;12;15;147100
2025-02;12;16;152500
2025-02;12;18;171200
2025-02;12;19;772900
2025-02;12;21;571000
2025-02;12;22;600500
2025-02;12;24;664800
2025-02;13;2;156500
2025-02;13;3;167800
2025-02;13;6;128600
2025-02;13;8;141000
2025-02;13;9;146300
2025-02;13;11;164400
2025-02;13;12;176700
2025-02;13;14;130600
2025-02;13;15;137500
2025-02;13;17;152300
2025-02;13;18;157900
2025-02;13;20;711500
2025-02;13;21;770600
2025-02;13;23;884900
2025-02;14;1;136300
2025-02;14;2;141500
2025-02;14;5;171100
2025-02;14;7;126600
2025-02;14;8;133300
2025-02;14;10;147700
2025-02;14;11;153300
2025-02;14;13;164600
2025-02;14;14;178300
2025-02;14;16;204900
2025-02;14;17;141300
2025-02;14;19;655100
2025-02;14;20;690300
2025-02;14;22;740400
2025-02;14;25;889400
2025-02;15;1;130200
2025-02;15;4;149900
2025-02;15;6;161100
2025-02;15;7;174600
2025-02;15;9;200800
2025-02;15;10;138500
2025-02;15;12;153000
2025-02;15;13;161300
2025-02;15;15;173100
2025-02;15;16;179200
2025-02;15;18;208100
2025-02;15;19;934900
2025-02;15;21;677100
2025-02;15;24;774400
2025-02;15;25;801200
2025-03;1;1;70800
2025-03;1;2;77500
2025-03;1;4;58500
2025-03;1;5;62700
2025-03;1;7;71000
2025-03;1;8;74800
2025-03;1;10;86600
2025-03;1;11;94200
2025-03;1;13;71600
2025-03;1;14;76300
2025-03;1;17;90600
2025-03;1;19;417200
2025-03;1;20;456400
2025-03;1;22;534400
2025-03;1;23;371900
2025-03;1;25;417500
2025-03;2;1;69400
2025-03;2;3;80500
2025-03;2;4;87900
2025-03;2;6;67000
2025-03;2;7;71500
2025-03;2;9;81400
2025-03;2;10;85500
2025-03;2;12;93900
2025-03;2;13;102900
2025-03;2;16;84200
2025-03;2;18;94700
2025-03;2;19;423000
2025-03;2;21;462000
2025-03;2;22;482100
2025-03;2;24;568800
2025-03;2;25;612900
2025-03;3;2;75600
2025-03;3;3;79500
2025-03;3;5;87700
2025-03;3;6;96200
2025-03;3;8;113300
2025-03;3;9;79000
2025-03;3;11;89200
2025-03;3;12;95000
2025-03;3;15;108600
2025-03;3;17;128400
2025-03;3;18;138500
2025-03;3;20;428200
2025-03;3;21;452700
2025-03;3;23;501100
2025-03;3;24;522100
2025-03;4;1;105000
2025-03;4;2;73400
2025-03;4;4;83000
2025-03;4;5;88500
2025-03;4;7;97100
2025-03;4;8;101600
2025-03;4;10;120400
2025-03;4;11;129900
2025-03;4;14;101500
2025-03;4;16;112500
2025-03;4;17;117400
2025-03;4;19;559900
2025-03;4;20;604800
2025-03;4;22;451400
2025-03;4;23;477200
2025-03;4;25;533400
2025-03;5;1;93900
2025-03;5;3;111600
2025-03;5;4;120600
2025-03;5;6;89100
2025-03;5;7;94500
2025-03;5;9;105000
2025-03;5;10;109700
2025-03;5;13;134800
2025-03;5;15;100900
2025-03;5;16;106700
2025-03;5;18;119400
2025-03;5;19;522800
2025-03;5;21;566200
2025-03;5;22;616000
2025-03;5;24;713800
2025-03;5;25;494200
2025-03;6;2;97000
2025-03;6;3;101500
2025-03;6;5;115700
2025-03;6;6;125200
2025-03;6;8;93700
2025-03;6;9;99300
2025-03;6;12;116100
2025-03;6;14;126000
2025-03;6;15;137200
2025-03;6;17;159100
2025-03;6;18;110300
2025-03;6;20;515900
2025-03;6;21;545800
2025-03;6;23;590400
2025-03;6;24;613300
2025-03;7;1;86600
2025-03;7;2;91700
2025-03;7;4;103100
2025-03;7;5;107700
2025-03;7;7;116900
2025-03;7;8;127500
2025-03;7;11;102700
2025-03;7;13;114500
2025-03;7;14;121300
2025-03;7;16;131300
2025-03;7;17;136500
2025-03;7;19;671500
2025-03;7;20;720800
2025-03;7;22;526100
2025-03;7;23;554000
2025-03;7;25;608300
2025-03;8;1;117800
2025-03;8;3;137200
2025-03;8;4;95200
2025-03;8;6;106300
2025-03;8;7;112700
2025-03;8;10;127100
2025-03;8;12;149100
2025-03;8;13;160100
2025-03;8;15;117000
2025-03;8;16;123200
2025-03;8;18;135500
2025-03;8;19;591300
2025-03;8;21;666400
2025-03;8;22;717100
2025-03;8;24;531400
2025-03;8;25;559900
2025-03;9;2;113500
2025-03;9;3;118200
2025-03;9;5;138900
2025-03;9;6;149300
2025-03;9;9;115100
2025-03;9;11;126700
2025-03;9;12;131700
2025-03;9;14;148600
2025-03;9;15;159900
2025-03;9;17;118700
2025-03;9;18;125100
2025-03;9;20;583800
2025-03;9;21;606400
2025-03;9;23;652400
2025-03;9;24;707500
2025-03;10;1;102100
2025-03;10;2;107700
2025-03;10;4;118700
2025-03;10;5;123400
2025-03;10;8;150300
2025-03;10;10;111500
2025-03;10;11;117700
2025-03;10;13;131000
2025-03;10;14;136000
2025-03;10;16;146500
2025-03;10;17;158900
2025-03;10;19;769400
2025-03;10;20;531400
2025-03;10;22;588200
2025-03;10;23;620600
2025-03;10;25;667500
2025-03;11;1;141800
2025-03;11;3;105400
2025-03;11;4;111200
2025-03;11;7;128900
2025-03;11;9;138900
2025-03;11;10;150800
2025-03;11;12;173900
2025-03;11;13;120100
2025-03;11;15;133200
2025-03;11;16;140600
2025-03;11;18;151300
2025-03;11;19;658400
2025-03;11;21;766800
2025-03;11;22;821000
2025-03;11;24;596100
2025-03;12;2;132600
2025-03;12;3;144000
2025-03;12;6;115000
2025-03;12;8;127500
2025-03;12;9;134600
2025-03;12;11;145000
2025-03;12;12;150400
2025-03;12;14;175300
2025-03;12;15;187700
2025-03;12;17;136400
2025-03;12;18;143300
2025-03;12;20;658300
2025-03;12;21;682100
2025-03;12;23;765000
2025-03;13;1;123100
2025-03;13;2;130100
2025-03;13;5;145500
2025-03;13;7;169700
2025-03;13;8;181800
2025-03;13;10;132200
2025-03;13;11;138900
2025-03;13;13;152100
2025-03;13;14;157700
2025-03;13;16;177000
2025-03;13;17;190000
2025-03;13;19;589100
2025-03;13;20;619500
2025-03;13;22;685300
2025-03;13;25;760900
2025-03;14;1;177400
2025-03;14;4;135800
2025-03;14;6;148800
2025-03;14;7;154200
2025-03;14;9;173300
2025-03;14;10;186100
2025-03;14;12;137500
2025-03;14;13;144600
2025-03;14;15;160100
2025-03;14;16;166000
2025-03;14;18;178000
2025-03;14;19;809000
2025-03;14;21;928400
2025-03;14;24;705500
2025-03;14;25;742900
2025-03;15;3;183500
2025-03;15;5;135600
2025-03;15;6;142800
2025-03;15;8;158100
2025-03;15;9;164000
2025-03;15;11;175900
2025-03;15;12;190500
2025-03;15;14;218700
2025-03;15;15;150800
2025-03;15;17;166400
2025-03;15;18;175200
2025-03;15;20;959100
2025-03;15;23;1121900
2025-03;15;24;1188600
2025-04;1;1;60700
2025-04;1;3;67900
2025-04;1;4;71600
2025-04;1;6;86300
2025-04;1;7;93900
2025-04;1;9;70300
2025-04;1;10;74900
2025-04;1;12;84100
2025-04;1;13;88200
2025-04;1;16;110100
2025-04;1;18;83000
2025-04;1;19;370100
2025-04;1;21;417400
2025-04;1;22;436400
2025-04;1;24;475900
2025-04;1;25;519300
2025-04;2;2;65000
2025-04;2;3;69300
2025-04;2;5;78100
2025-04;2;6;82100
2025-04;2;8;94600
2025-04;2;9;102900
2025-04;2;11;77800
2025-04;2;12;82800
2025-04;2;15;98000
2025-04;2;17;107100
2025-04;2;18;117000
2025-04;2;20;574200
2025-04;2;21;399100
2025-04;2;23;447200
2025-04;2;24;474600
2025-04;3;1;87200
2025-04;3;2;95100
2025-04;3;4;72200
2025-04;3;5;76900
2025-04;3;7;87100
2025-04;3;8;91300
2025-04;3;10;100100
2025-04;3;11;109500
2025-04;3;14;89200
2025-04;3;16;100200
2025-04;3;17;106400
2025-04;3;19;486900
2025-04;3;20;507600
2025-04;3;22;597900
2025-04;3;23;643500
2025-04;3;25;472000
2025-04;4;1;84200
2025-04;4;3;92500
2025-04;4;4;101200
2025-04;4;6;118900
2025-04;4;7;82800
2025-04;4;9;93200
2025-04;4;10;99100
2025-04;4;13;113000
2025-04;4;15;133300
2025-04;4;16;143500
2025-04;4;18;105400
2025-04;4;19;468000
2025-04;4;21;517000
2025-04;4;22;538400
2025-04;4;24;609600
2025-04;4;25;657500
2025-04;5;2;85900
2025-04;5;3;91500
2025-04;5;5;100100
2025-04;5;6;104500
2025-04;5;8;123600
2025-04;5;9;133300
2025-04;5;12;103700
2025-04;5;14;114800
2025-04;5;15;119600
2025-04;5;17;135600
2025-04;5;18;146400
2025-04;5;20;458300
2025-04;5;21;484100
2025-04;5;23;540300
2025-04;5;24;562300
2025-04;6;1;113800
2025-04;6;2;122900
2025-04;6;4;90600
2025-04;6;5;95900
2025-04;6;7;106300
2025-04;6;8;110900
2025-04;6;11;136000
2025-04;6;13;101600
2025-04;6;14;107300
2025-04;6;16;120000
2025-04;6;17;125000
2025-04;6;19;567400
2025-04;6;20;617000
2025-04;6;22;713900
2025-04;6;23;494100
2025-04;6;25;548900
2025-04;7;1;102300
2025-04;7;3;116400
2025-04;7;4;125900
2025-04;7;6;94100
2025-04;7;7;99500
2025-04;7;10;116100
2025-04;7;12;125700
2025-04;7;13;136900
2025-04;7;15;158500
2025-04;7;16;109700
2025-04;7;18;122100
2025-04;7;19;542200
2025-04;7;21;585800
2025-04;7;22;608100
2025-04;7;24;710700
2025-04;7;25;762200
2025-04;8;2;103300
2025-04;8;3;107800
2025-04;8;5;116900
2025-04;8;6;127300
2025-04;8;9;102300
2025-04;8;11;113900
2025-04;8;12;120600
2025-04;8;14;130500
2025-04;8;15;135400
2025-04;8;17;158500
2025-04;8;18;170100
2025-04;8;20;520700
2025-04;8;21;548000
2025-04;8;23;601100
2025-04;8;24;623800
2025-04;9;1;137800
2025-04;9;2;95500
2025-04;9;4;106600
2025-04;9;5;112900
2025-04;9;8;127100
2025-04;9;10;148800
2025-04;9;11;159800
2025-04;9;13;116600
2025-04;9;14;122800
2025-04;9;16;134800
2025-04;9;17;139900
2025-04;9;19;661800
2025-04;9;20;711900
2025-04;9;22;527000
2025-04;9;23;555000
2025-04;9;25;615700
2025-04;10;1;119800
2025-04;10;3;140400
2025-04;10;4;150800
2025-04;10;7;116100
2025-04;10;9;127700
2025-04;10;10;132600
2025-04;10;12;149400
2025-04;10;13;160800
2025-04;10;15;119100
2025-04;10;16;125500
2025-04;10;18;139400
2025-04;10;19;607500
2025-04;10;21;653100
2025-04;10;22;708100
2025-04;10;24;814600
2025-04;11;2;121700
2025-04;11;3;126500
2025-04;11;6;153600
2025-04;11;8;114000
2025-04;11;9;120100
2025-04;11;11;133500
2025-04;11;12;138600
2025-04;11;14;149100
2025-04;11;15;161700
2025-04;11;17;186200
2025-04;11;18;128600
2025-04;11;20;597300
2025-04;11;21;629900
2025-04;11;23;677000
2025-04;12;1;109800
2025-04;12;2;115800
2025-04;12;5;133900
2025-04;12;7;144200
2025-04;12;8;156500
2025-04;12;10;180300
2025-04;12;11;124500
2025-04;12;13;137800
2025-04;12;14;145400
2025-04;12;16;156500
2025-04;12;17;162100
2025-04;12;19;792100
2025-04;12;20;847700
2025-04;12;22;615000
2025-04;12;25;705200
2025-04;13;1;152500
2025-04;13;4;121600
2025-04;13;6;134700
2025-04;13;7;142200
2025-04;13;9;153000
2025-04;13;10;158500
2025-04;13;12;184700
2025-04;13;13;197700
2025-04;13;15;143600
2025-04;13;16;150800
2025-04;13;18;164800
2025-04;13;19;716800
2025-04;13;21;803300
2025-04;13;24;635500
2025-04;13;25;667900
2025-04;14;3;156100
2025-04;14;5;182000
2025-04;14;6;194900
2025-04;14;8;141600
2025-04;14;9;148800
2025-04;14;11;162700
2025-04;14;12;168600
2025-04;14;14;189100
2025-04;14;15;203000
2025-04;14;17;149700
2025-04;14;18;157400
2025-04;14;20;896700
2025-04;14;23;981300
2025-04;14;24;1049400
2025-04;15;2;147400
2025-04;15;4;161300
2025-04;15;5;167200
2025-04;15;7;187600
2025-04;15;8;201500
2025-04;15;10;148700
2025-04;15;11;156400
2025-04;15;13;173000
2025-04;15;14;179300
2025-04;15;16;192100
2025-04;15;17;207900
2025-04;15;19;1001300
2025-04;15;22;760300
2025-04;15;23;800300
2025-04;15;25;857100
2025-05;1;2;84700
2025-05;1;3;59500
2025-05;1;5;68000
2025-05;1;6;72800
2025-05;1;8;80700
2025-05;1;9;84700
2025-05;1;11;101300
2025-05;1;12;109700
2025-05;1;15;86600
2025-05;1;17;96600
2025-05;1;18;101100
2025-05;1;20;485000
2025-05;1;21;525300
2025-05;1;23;394100
2025-05;1;24;417600
2025-05;2;1;74100
2025-05;2;2;78000
2025-05;2;4;93400
2025-05;2;5;101400
2025-05;2;7;75600
2025-05;2;8;80400
2025-05;2;10;89900
2025-05;2;11;94200
2025-05;2;14;117100
2025-05;2;16;88000
2025-05;2;17;93300
2025-05;2;19;441200
2025-05;2;20;460900
2025-05;2;22;501400
2025-05;2;23;546800
2025-05;2;25;636000
2025-05;3;1;73700
2025-05;3;3;82800
2025-05;3;4;86900
2025-05;3;6;99800
2025-05;3;7;108300
2025-05;3;9;81600
2025-05;3;10;86700
2025-05;3;13;102300
2025-05;3;15;111500
2025-05;3;16;121600
2025-05;3;18;141900
2025-05;3;19;413700
2025-05;3;21;462600
2025-05;3;22;490400
2025-05;3;24;532400
2025-05;3;25;554200
2025-05;4;2;75000
2025-05;4;3;79700
2025-05;4;5;90100
2025-05;4;6;94300
2025-05;4;8;103100
2025-05;4;9;112700
2025-05;4;12;91500
2025-05;4;14;102500
2025-05;4;15;108700
2025-05;4;17;118200
2025-05;4;18;123200
2025-05;4;20;608200
2025-05;4;21;654200
2025-05;4;23;479100
2025-05;4;24;505300
2025-05;5;1;94700
2025-05;5;2;103500
2025-05;5;4;121200
2025-05;5;5;84300
2025-05;5;7;94700
2025-05;5;8;100600
2025-05;5;11;114200
2025-05;5;13;134500
2025-05;5;14;144800
2025-05;5;16;106100
2025-05;5;17;112100
2025-05;5;19;519200
2025-05;5;20;540300
2025-05;5;22;610800
2025-05;5;23;658300
2025-05;5;25;489300
2025-05;6;1;92500
2025-05;6;3;101000
2025-05;6;4;105300
2025-05;6;6;124400
2025-05;6;7;133900
2025-05;6;10;104000
2025-05;6;12;114800
2025-05;6;13;119500
2025-05;6;15;135400
2025-05;6;16;146000
2025-05;6;18;108600
2025-05;6;19;481800
2025-05;6;21;537000
2025-05;6;22;558500
2025-05;6;24;602500
2025-05;6;25;654300
2025-05;7;2;91000
2025-05;7;3;96300
2025-05;7;5;106600
2025-05;7;6;111100
2025-05;7;9;135900
2025-05;7;11;101200
2025-05;7;12;107000
2025-05;7;14;119400
2025-05;7;15;124200
2025-05;7;17;134200
2025-05;7;18;145800
2025-05;7;20;707600
2025-05;7;21;489400
2025-05;7;23;543100
2025-05;7;24;573700
2025-05;8;1;117300
2025-05;8;2;126600
2025-05;8;4;94500
2025-05;8;5;100000
2025-05;8;8;116300
2025-05;8;10;125700
2025-05;8;11;136800
2025-05;8;13;158300
2025-05;8;14;109500
2025-05;8;16;121600
2025-05;8;17;128500
2025-05;8;19;582500
2025-05;8;20;604400
2025-05;8;22;705700
2025-05;8;23;756400
2025-05;8;25;550300
2025-05;9;1;109400
2025-05;9;3;118400
2025-05;9;4;128900
2025-05;9;7;103400
2025-05;9;9;114900
2025-05;9;10;121500
2025-05;9;12;131400
2025-05;9;13;136400
2025-05;9;15;159300
2025-05;9;16;170900
2025-05;9;18;124400
2025-05;9;19;549700
2025-05;9;21;602500
2025-05;9;22;625000
2025-05;9;24;702400
2025-05;10;2;109500
2025-05;10;3;115800
2025-05;10;6;130100
2025-05;10;8;152200
2025-05;10;9;163300
2025-05;10;11;119000
2025-05;10;12;125300
2025-05;10;14;137400
2025-05;10;15;142600
2025-05;10;17;160400
2025-05;10;18;172400
2025-05;10;20;535700
2025-05;10;21;563900
2025-05;10;23;625100
2025-05;11;1;146500
2025-05;11;2;157200
2025-05;11;5;120900
2025-05;11;7;132700
2025-05;11;8;137800
2025-05;11;10;155100
2025-05;11;11;166800
2025-05;11;13;123500
2025-05;11;14;130000
2025-05;11;16;144200
2025-05;11;17;149600
2025-05;11;19;675300
2025-05;11;20;731800
2025-05;11;22;841400
2025-05;11;25;641000
2025-05;12;1;134100
2025-05;12;4;162700
2025-05;12;6;120500
2025-05;12;7;127000
2025-05;12;9;140900
2025-05;12;10;146400
2025-05;12;12;157300
2025-05;12;13;170600
2025-05;12;15;196200
2025-05;12;16;135400
2025-05;12;18;149600
2025-05;12;19;662600
2025-05;12;21;711600
2025-05;12;24;856100
2025-05;12;25;915500
2025-05;13;3;143900
2025-05;13;5;154900
2025-05;13;6;167900
2025-05;13;8;193400
2025-05;13;9;133500
2025-05;13;11;147700
2025-05;13;12;155700
2025-05;13;14;167300
2025-05;13;15;173300
2025-05;13;17;201500
2025-05;13;18;215600
2025-05;13;20;817700
2025-05;13;23;918200
2025-05;13;24;946200
2025-05;14;2;132100
2025-05;14;4;146200
2025-05;14;5;154200
2025-05;14;7;165900
2025-05;14;8;171800
2025-05;14;10;200000
2025-05;14;11;214100
2025-05;14;13;155300
2025-05;14;14;163000
2025-05;14;16;178000
2025-05;14;17;184300
2025-05;14;19;867100
2025-05;14;22;685400
2025-05;14;23;720100
2025-05;14;25;795200
2025-05;15;1;170500
2025-05;15;3;198600
2025-05;15;4;212700
2025-05;15;6;154400
2025-05;15;7;162100
2025-05;15;9;177200
2025-05;15;10;183500
2025-05;15;12;205600
2025-05;15;13;220700
2025-05;15;15;162700
2025-05;15;16;171000
2025-05;15;18;189000
2025-05;15;21;879400
2025-05;15;22;951200
2025-05;15;24;1089800
2025-05;15;25;750500
2025-06;1;1;65200
2025-06;1;2;68900
2025-06;1;4;76500
2025-06;1;5;84100
2025-06;1;7;99700
2025-06;1;8;69700
2025-06;1;10;79100
2025-06;1;11;84500
2025-06;1;14;97200
2025-06;1;16;115400
2025-06;1;17;124700
2025-06;1;19;386900
